categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;05/01/2021;16:27:56;14;PALERMO;HONDURAS;4770;-34.5902765565105;-58.427909696665;GCS Web;Femenino;Cerrado;18/01/2021;13:42:20
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;06/01/2021;14:31:07;9;LINIERS;CASTRO, EMILIO AV.;6899;-34.6521635743;-58.5160191372007;GCS Web;Masculino;Cerrado;08/01/2021;15:12:06
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;06/01/2021;14:00:42;6;CABALLITO;ROJAS;42;-34.6199638856296;-58.4417235603575;Operador GCBA;Masculino;Cerrado;13/01/2021;14:34:19
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;06/01/2021;13:06:27;3;BALVANERA;RIVADAVIA AV.;2039;-34.6093661963021;-58.3955269114555;App BA 147;Masculino;Cerrado;14/01/2021;14:39:44
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;06/01/2021;11:45:46;13;NUÑEZ;CONGRESO AV.;2597;-34.5562875364669;-58.4642646897159;GCS Web;Femenino;Cerrado;13/01/2021;14:22:58
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;06/01/2021;12:54:37;3;BALVANERA;RIVADAVIA AV.;2039;-34.6093661963021;-58.3955269114555;App BA 147;Masculino;Cerrado;14/01/2021;14:39:44
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;INTOXICACIÓN / ENFERMEDAD POR ALIMENTOS / BEBIDAS EN MAL ESTADO;DENUNCIA;06/01/2021;04:26:36;14;PALERMO;ALVAREZ, JULIAN;2407;-34.5872987472666;-58.4154783624062;App BA 147;Masculino;Cerrado;12/01/2021;16:19:57
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;INTOXICACIÓN / ENFERMEDAD POR ALIMENTOS / BEBIDAS EN MAL ESTADO;DENUNCIA;06/01/2021;18:45:48;3;BALVANERA;LAVALLE;2889;-34.6029955552236;-58.4072194726497;GCS Web;Masculino;Cerrado;14/01/2021;14:51:40
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;07/01/2021;01:07:32;13;BELGRANO;CIUDAD DE LA PAZ;1719;-34.5660065044717;-58.4546732835569;App BA 147;Femenino;Cerrado;25/01/2021;11:29:12
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;07/01/2021;17:22:00;13;BELGRANO;HERNANDEZ, JOSE;2696;-34.5672735655402;-58.4561690806315;App BA 147;Masculino;Cerrado;18/01/2021;13:59:30
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;07/01/2021;14:03:03;14;PALERMO;DORREGO;2145;-34.5780501174122;-58.4392729503214;Operador GCBA;Masculino;Cerrado;12/01/2021;16:03:28
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;INTOXICACIÓN / ENFERMEDAD POR ALIMENTOS / BEBIDAS EN MAL ESTADO;DENUNCIA;07/01/2021;15:21:51;4;BOCA;REGIMIENTO DE PATRICIOS AV.;1090;-34.6399252625126;-58.3692048240074;GCS Web;Masculino;Cerrado;14/01/2021;15:07:17
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;07/01/2021;17:41:29;13;BELGRANO;CONGRESO;2368;-34.5552385132119;-58.4619617113852;GCS Web;Femenino;Cerrado;19/01/2021;15:35:39
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;08/01/2021;11:11:13;10;VELEZ SARSFIELD;SEGUROLA AV.;1400;-34.6231768641251;-58.4960021135796;App BA 147;Femenino;Cerrado;18/01/2021;14:18:48
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;08/01/2021;17:22:33;9;LINIERS;DE LA TORRE, LISANDRO;1069;-34.6501711595681;-58.5163324252669;GCS Web;Masculino;Cerrado;26/01/2021;11:55:30
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;08/01/2021;01:31:37;6;CABALLITO;DOBLAS;511;-34.6227588395974;-58.430771845671;GCS Web;Femenino;Cerrado;12/01/2021;15:53:15
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;08/01/2021;13:26:27;13;BELGRANO;VUELTA DE OBLIGADO;2395;-34.5587116805142;-58.4579915072659;App BA 147;Femenino;Cerrado;20/01/2021;16:03:51
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;08/01/2021;09:44:51;1;SAN TELMO;BOLIVAR;950;-34.619062662523;-58.3729390866805;GCS Web;Masculino;Cerrado;12/01/2021;21:08:09
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;09/01/2021;18:56:51;14;PALERMO;SCALABRINI ORTIZ, RAUL AV.;2290;-34.5870178204192;-58.4191181143931;App BA 147;Femenino;Cerrado;18/01/2021;14:34:18
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;09/01/2021;10:39:06;1;SAN TELMO;BOLIVAR;986;-34.6192919127216;-58.3729241452663;App BA 147;Femenino;Cerrado;22/01/2021;15:12:20
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;09/01/2021;15:24:21;10;FLORESTA;AZUL;216;-34.6346658196969;-58.4745253985602;GCS Web;Masculino;Cerrado;12/01/2021;13:17:50
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;10/01/2021;20:51:00;3;BALVANERA;LAVALLE;2102;-34.603319006598;-58.3970296907047;GCS Web;Masculino;Cerrado;18/01/2021;14:39:23
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;10/01/2021;16:48:07;10;FLORESTA;RIVADAVIA AV.;8128;-34.6330157595236;-58.4780577090998;App BA 147;Femenino;Cerrado;18/01/2021;14:31:46
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;10/01/2021;16:48:25;12;VILLA URQUIZA;DE LOS CONSTITUYENTES AV.;5201;-34.5772084184531;-58.4981103570472;GCS Web;Masculino;Cerrado;22/01/2021;15:18:30
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;10/01/2021;11:13:35;7;FLORES;AVELLANEDA AV.;2763;-34.6257443244789;-58.4698575638252;App BA 147;Femenino;Cerrado;18/01/2021;14:28:36
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;11/01/2021;16:00:43;13;BELGRANO;OBLIGADO RAFAEL, AV.COSTANERA;7010;-34.5442998345511;-58.4321502015307;GCS Web;Masculino;Cerrado;27/01/2021;18:14:47
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;11/01/2021;12:15:11;15;VILLA CRESPO;CORDOBA AV.;4664;-34.5938291422235;-58.4309560531214;App BA 147;Masculino;Cerrado;19/01/2021;16:15:34
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;11/01/2021;15:44:35;2;RECOLETA;CHARCAS;;-34.5924707017061;-58.4111259790841;App BA 147;Femenino;Cerrado;22/01/2021;13:24:06
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;11/01/2021;16:32:46;13;BELGRANO;OBLIGADO RAFAEL, AV.COSTANERA;7010;-34.5442998345511;-58.4321502015307;GCS Web;Masculino;Cerrado;27/01/2021;18:14:41
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;11/01/2021;21:50:55;11;VILLA SANTA RITA;NAZCA AV.;1550;-34.615967631637;-58.4779197026726;App BA 147;Femenino;Cerrado;19/01/2021;16:17:12
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;12/01/2021;12:35:14;13;NUÑEZ;CABILDO AV.;3320;-34.5520718858066;-58.4658751041322;GCS Web;Femenino;Cerrado;19/01/2021;16:18:30
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;12/01/2021;20:51:58;14;PALERMO;PARAGUAY;4402;-34.5853492973294;-58.4234351878896;App BA 147;Femenino;Cerrado;20/01/2021;18:06:02
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;12/01/2021;16:37:20;12;VILLA URQUIZA;BARZANA;2175;-34.5784968543815;-58.4883092274693;App BA 147;Femenino;Cerrado;14/01/2021;14:41:44
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;12/01/2021;19:32:00;14;PALERMO;PARAGUAY;4402;-34.5853492973294;-58.4234351878896;App BA 147;Femenino;Cerrado;20/01/2021;18:06:02
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;12/01/2021;20:48:25;14;PALERMO;PARAGUAY;4402;-34.5853492973294;-58.4234351878896;App BA 147;Masculino;Cerrado;20/01/2021;18:06:02
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;12/01/2021;22:06:15;14;PALERMO;HONDURAS;5028;-34.5884906365408;-58.4306372199605;GCS Web;Femenino;Cerrado;26/01/2021;12:17:18
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;12/01/2021;16:51:57;12;VILLA URQUIZA;BARZANA;2175;-34.5784968543815;-58.4883092274693;App BA 147;Femenino;Cerrado;14/01/2021;14:43:01
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;13/01/2021;14:00:21;7;FLORES;ALBERDI, JUAN BAUTISTA AV.;2023;-34.629711348611;-58.4569213558236;App BA 147;Masculino;Cerrado;04/02/2021;12:35:18
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;13/01/2021;15:49:46;12;VILLA URQUIZA;BARZANA;2179;-34.5784268762716;-58.488364182013;App BA 147;Femenino;Cerrado;14/01/2021;13:36:32
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;ALIMENTOS EN MALAS CONDICIONES;DENUNCIA;13/01/2021;12:48:12;1;MONSERRAT;LIMA;;-34.6176589521459;-58.3815185625971;GCS Web;Femenino;Cerrado;22/01/2021;13:46:14
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;13/01/2021;15:57:07;12;VILLA URQUIZA;BARZANA;2179;-34.5784268762716;-58.488364182013;App BA 147;Femenino;Cerrado;14/01/2021;13:37:48
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;13/01/2021;20:32:48;14;PALERMO;PARAGUAY;4402;-34.5853492973294;-58.4234351878896;App BA 147;Femenino;Cerrado;20/01/2021;18:06:02
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;INTOXICACIÓN / ENFERMEDAD POR ALIMENTOS / BEBIDAS EN MAL ESTADO;DENUNCIA;14/01/2021;00:04:24;14;PALERMO;ALVAREZ, JULIAN;2407;-34.5872987472666;-58.4154783624062;App BA 147;Masculino;Cerrado;14/01/2021;13:41:43
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;IRREGULARIDADES EN LA MANIPULACIÓN DE ALIMENTOS;DENUNCIA;14/01/2021;13:04:38;2;RECOLETA;ARENALES;2021;-34.5945392994214;-58.3961553324119;App BA 147;Femenino;Cerrado;21/01/2021;20:29:06
FISCALIZACIÓN ACTIVIDADES COMERCIALES;HIGIENE Y SEGURIDAD ALIMENTARIA;FALTA DE HIGIENE EN LOCAL CON VENTA / ELABORACIÓN DE ALIMENTOS;DENUNCIA;14/01/2021;13:53:15;1;PUERTO MADERO;MOREAU DE JUSTO, ALICIA AV.;1050;-34.609827698376;-58.366326516521;GCS Web;Femenino;Cerrado;02/02/2021;15:37:36
